season,teamId,abbr,cityState,fullName,nick,conferenceAbbr,divisionAbbr
1999,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCW
1999,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACC
1999,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
1999,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCW
1999,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCC
1999,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACC
1999,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACC
1999,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
1999,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
1999,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCC
1999,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCC
1999,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACC
1999,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACE
1999,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACC
1999,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
1999,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
1999,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
1999,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
1999,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCC
1999,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
1999,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCW
1999,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
1999,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
1999,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
1999,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCE
1999,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACC
1999,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
1999,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
1999,4600,SEA,Seattle,Seattle Seahawks,Seahawks,AFC,ACW
1999,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCC
1999,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2000,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCW
2000,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACC
2000,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2000,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCW
2000,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCC
2000,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACC
2000,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACC
2000,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2000,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2000,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCC
2000,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCC
2000,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACC
2000,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACE
2000,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACC
2000,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2000,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2000,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2000,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2000,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCC
2000,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2000,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCW
2000,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2000,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2000,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2000,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCE
2000,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACC
2000,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2000,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2000,4600,SEA,Seattle,Seattle Seahawks,Seahawks,AFC,ACW
2000,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCC
2000,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2001,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCW
2001,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACC
2001,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2001,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCW
2001,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCC
2001,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACC
2001,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACC
2001,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2001,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2001,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCC
2001,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCC
2001,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACC
2001,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACE
2001,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACC
2001,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2001,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2001,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2001,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2001,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCC
2001,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2001,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCW
2006,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2006,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2006,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2006,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2007,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2007,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2007,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2007,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2007,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2007,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2007,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2007,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2007,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2007,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2007,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2007,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2007,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2007,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2007,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2007,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2007,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2007,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2007,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2007,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2007,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2007,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2007,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2007,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2007,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2007,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2007,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2007,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2007,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2007,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2007,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2007,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2008,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2008,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2008,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2008,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2008,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2008,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2008,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2008,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2008,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2008,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2008,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2008,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2008,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2008,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2008,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2008,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2008,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2008,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2008,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2008,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2008,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2008,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2008,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2008,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2008,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2008,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2008,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2008,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2008,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2008,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2008,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2008,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2009,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2009,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2009,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2009,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2009,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2009,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2009,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2009,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2009,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2009,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2009,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2009,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2009,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2009,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2009,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2012,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2012,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2012,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2012,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2012,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2012,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2012,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2012,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2012,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2012,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2012,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2012,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2012,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2012,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2012,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2012,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2012,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2012,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2012,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2012,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2012,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2012,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2012,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2012,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2012,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2012,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2012,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2012,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2012,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2012,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2013,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2013,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2013,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2013,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS